Date,PETR4.SA,ITUB4.SA,MGLU3.SA
2016-06-10,2.2695069313049316,8.662091255187988,1.2011889219284058
2016-06-13,2.2281486988067627,8.701057434082031,1.1456836462020874
2016-06-14,2.1454336643218994,8.57516860961914,1.137195110321045
2016-06-15,2.1997153759002686,8.533208847045898,1.135888934135437
2016-06-16,2.1971302032470703,8.689066886901855,1.1068310737609863
2016-06-17,2.3134496212005615,8.6680908203125,1.1656005382537842
2016-06-20,2.372901201248169,8.8119535446167,1.201515555381775
2016-06-21,2.4633705615997314,8.80896282196045,1.230246663093567
2016-06-22,2.414259433746338,8.656094551086426,1.2260026931762695
2016-06-23,2.499558687210083,8.991791725158691,1.2390623092651367
2016-06-24,2.3909952640533447,8.677078247070312,1.208045244216919
2016-06-27,2.2695069313049316,8.386343955993652,1.2077187299728394
2016-06-28,2.378070831298828,8.680072784423828,1.2406952381134033
2016-06-29,2.4556167125701904,8.874896049499512,1.2488573789596558
2016-06-30,2.4349377155303955,9.081711769104004,1.2570197582244873
2016-07-01,2.538331985473633,9.269136428833008,1.27334463596344
2016-07-04,2.5512561798095703,9.26313304901123,1.281507968902588
2016-07-05,2.401334762573242,9.197158813476562,1.2782427072525024
2016-07-06,2.4556167125701904,9.23314380645752,1.27334463596344
2016-07-07,2.471125841140747,9.326105117797852,1.2929348945617676
2016-07-08,2.54350209236145,9.577998161315918,1.36476469039917
2016-07-11,2.6779143810272217,9.670961380004883,1.3595412969589233
2016-07-12,2.752875328063965,9.589995384216309,1.36476469039917
2016-07-13,2.7477059364318848,9.787912368774414,1.371294617652893
2016-07-14,2.8252508640289307,10.066791534423828,1.3925174474716187
2016-07-15,2.8485147953033447,10.033811569213867,1.3895783424377441
2016-07-18,2.985513210296631,10.204737663269043,1.388598918914795
2016-07-19,3.044964551925659,10.144759178161621,1.4039442539215088
2016-07-20,3.0553040504455566,10.303698539733887,1.4088420867919922
2016-07-21,3.0630593299865723,10.165756225585938,1.4039442539215088
2016-07-22,3.08632230758667,10.228732109069824,1.404923915863037
2016-07-25,3.109586000442505,10.1507568359375,1.4751211404800415
2016-07-26,3.070812463760376,10.021814346313477,1.4793659448623657
2016-07-27,2.9751737117767334,10.060799598693848,1.470550537109375
2016-07-28,2.9570789337158203,9.949841499328613,1.438554048538208
2016-07-29,3.0682287216186523,10.132769584655762,1.5018939971923828
2016-08-01,2.9079670906066895,10.029263496398926,1.5018939971923828
2016-08-02,2.9364006519317627,10.149264335632324,1.4316965341567993
2016-08-03,3.0759823322296143,10.572283744812012,1.449654221534729
2016-08-04,3.1044163703918457,10.63228702545166,1.6324936151504517
2016-08-05,3.0113606452941895,10.569278717041016,1.7304434776306152
2016-08-08,3.0785672664642334,10.500276565551758,1.7320760488510132
2016-08-09,3.070812463760376,10.521273612976074,1.8447182178497314
2016-08-10,2.98809814453125,10.434276580810547,1.9002231359481812
2016-08-11,3.1276798248291016,10.701287269592285,1.9263432025909424
2016-08-12,3.1018314361572266,10.782288551330566,1.9580130577087402
2016-08-15,3.1819629669189453,11.018616676330566,1.9410353899002075
2016-08-16,3.228489637374878,10.973114013671875,2.0288639068603516
2016-08-17,3.298280954360962,11.118733406066895,2.063472270965576
2016-08-18,3.329298973083496,11.097491264343262,2.0177621841430664
2016-08-19,3.3060355186462402,11.024674415588379,2.0014374256134033
2016-08-22,3.1923015117645264,10.812317848205566,2.0177621841430664
2016-08-23,3.2750165462493896,10.794120788574219,2.0536770820617676
2016-08-24,3.205226182937622,10.742539405822754,2.0536770820617676
2016-08-25,3.2388291358947754,10.709171295166016,2.016456127166748
2016-08-26,3.2439990043640137,10.83963394165039,2.026904582977295
2016-08-29,3.326714277267456,11.030759811401367,2.0536770820617676
2016-08-30,3.3835811614990234,11.103559494018555,1.9932749271392822
2016-08-31,3.321544647216797,10.87603759765625,1.9753178358078003
2016-09-01,3.360316753387451,10.983772277832031,2.065431594848633
2016-09-02,3.5076546669006348,11.144633293151855,2.1467294692993164
2016-09-05,3.5748608112335205,11.147664070129395,2.154238700866699
2016-09-06,3.613633632659912,11.253890991210938,2.1581568717956543
2016-09-08,3.6756703853607178,11.120346069335938,2.1516268253326416
